	Topic	Word	P
0	0	کنترل	0.03205297514796257
1	0	بادی	0.016578832641243935
2	0	پلیمری	0.014874736778438091
3	0	مزارع	0.014527290128171444
4	0	تخصیص	0.01428939774632454
5	0	مقره‌های	0.01324834767729044
6	0	ولتاژ	0.012962594628334045
7	0	راه‌گزینی	0.012235491536557674
8	0	بسته	0.010625232942402363
9	0	منابع	0.010097593069076538
10	0	تأخیر	0.009177550673484802
11	0	نشتی	0.009126760996878147
12	0	کنترلی	0.008798744529485703
13	0	عملکرد	0.008363786153495312
14	0	تراشه	0.007940196432173252
15	0	قابلیت	0.007864554412662983
16	0	مقره	0.007426976226270199
17	0	تحلیل	0.007266136817634106
18	0	مدار	0.007047219201922417
19	0	سیستم	0.006977566983550787
20	0	راکتیو	0.006884101312607527
21	0	DFIG	0.0068839360028505325
22	0	شبکه	0.0067287590354681015
23	0	فرکانس	0.0066455998457968235
24	0	زودهنگام	0.006501298863440752
25	0	کیفیت	0.006462800782173872
26	0	عیب	0.006355636287480593
27	0	آبگریزی	0.006119588855654001
28	0	سطح	0.005849690642207861
29	0	منجر	0.005832535680383444
30	1	اوکسی	0.018731648102402687
31	1	کشیدگی	0.01672489568591118
32	1	انتشار	0.01627427339553833
33	1	هموگلوبین	0.016056660562753677
34	1	مدل	0.015373327769339085
35	1	بایاس	0.013986405916512012
36	1	مغز	0.013927233405411243
37	1	نوزادان	0.012044120579957962
38	1	رله	0.011375376023352146
39	1	ضریب	0.011229670606553555
40	1	دی	0.009369105100631714
41	1	همودینامیکی	0.009369103237986565
42	1	سالم	0.009334930218756199
43	1	تحلیل	0.008752991445362568
44	1	بافت‌های	0.008700352162122726
45	1	تیلور	0.008700346574187279
46	1	بسط	0.008700343780219555
47	1	کلیدی	0.008364606648683548
48	1	عصبی	0.008322317153215408
49	1	کلمات	0.008106234483420849
50	1	مادون	0.008031602017581463
51	1	قرمز	0.008031602017581463
52	1	طیف	0.008031601086258888
53	1	سنج	0.008031600154936314
54	1	بردار	0.008031598292291164
55	1	ماشین	0.008031598292291164
56	1	پشتیبان	0.00803159736096859
57	1	مغزی	0.00802130438387394
58	1	حرکت	0.007449863478541374
59	1	صندلی	0.007362850941717625
